country,source,source_line_of_business,standard_line_of_business,lob_group,notes,source_norm,source_line_of_business_norm,standard_line_of_business_norm
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,SEGUROS DE CREDITO,SEGUROS DE CREDITO,CREDIT,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,SEGUROS DE CREDITO,SEGUROS DE CREDITO
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Seguros de Credito,SEGUROS DE CREDITO,CREDIT,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,SEGUROS DE CREDITO,SEGUROS DE CREDITO
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,MINAS Y PETROLEOS,MINAS Y PETROLEOS,ENERGY,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,MINAS Y PETROLEOS,MINAS Y PETROLEOS
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Minas y Petróleos,MINAS Y PETROLEOS,ENERGY,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,MINAS Y PETRÓLEOS,MINAS Y PETROLEOS
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,MONTAJE Y ROTURA,MONTAJE Y ROTURA,ENGINEERING,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,MONTAJE Y ROTURA,MONTAJE Y ROTURA
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Montaje y Rotura,MONTAJE Y ROTURA,ENGINEERING,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,MONTAJE Y ROTURA,MONTAJE Y ROTURA
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,INGENIERIA,INGENIERIA,ENGINEERING,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,INGENIERIA,INGENIERIA
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Ingenieria,INGENIERIA,ENGINEERING,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,INGENIERIA,INGENIERIA
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,TODO RIESGO CONTRATISTA,TODO RIESGO CONTRATISTA,ENGINEERING,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,TODO RIESGO CONTRATISTA,TODO RIESGO CONTRATISTA
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Todo Riesgo Cont.,TODO RIESGO CONTRATISTA,ENGINEERING,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,TODO RIESGO CONT.,TODO RIESGO CONTRATISTA
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,NAVEGACION Y CASCO,NAVEGACION Y CASCO,MARINE,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,NAVEGACION Y CASCO,NAVEGACION Y CASCO
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Nav.yCasco,NAVEGACION Y CASCO,MARINE,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,NAV.YCASCO,NAVEGACION Y CASCO
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,VIDRIOS,VIDRIOS,PROPERTY,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,VIDRIOS,VIDRIOS
